county,july1_2019_pop_est
Anderson,59025
Andrews,19279
Angelina,90989
Aransas,23710
Archer,9228
Armstrong,2001
Atascosa,50898
Austin,32067
Bailey,7113
Bandera,23129
Bastrop,89564
Baylor,3751
Bee,33471
Bell,359255
Bexar,1997417
Blanco,12159
Borden,680
Bosque,19062
Bowie,96380
Brazoria,380439
Brazos,230789
Brewster,9092
Briscoe,1572
Brooks,7115
Brown,38993
Burleson,18373
Burnet,48716
Caldwell,43199
Calhoun,22028
Callahan,14070
Cameron,426210
Camp,12914
Carson,5951
Cass,30451
Castro,7380
Chambers,44298
Cherokee,53539
Childress,7038
Clay,10351
Cochran,2904
Coke,3390
Coleman,8191
Collin,1033046
Collingsworth,2853
Colorado,22283
Comal,156317
Comanche,13878
Concho,2716
Cooke,40477
Coryell,75137
Cottle,1354
Crane,4678
Crockett,3461
Crosby,5702
Culberson,2211
Dallam,7053
Dallas,2647576
Dawson,12720
Deaf Smith,19572
Delta,5295
Denton,886563
De Witt,20611
Dickens,2119
Dimmit,9709
Donley,3228
Duval,10907
Eastland,18307
Ector,167383
Edwards,1959
Ellis,188464
El Paso,852224
Erath,43042
Falls,17401
Fannin,36230
Fayette,26328
Fisher,3859
Floyd,5535
Foard,1139
Fort Bend,805788
Franklin,10791
Freestone,20621
Frio,19103
Gaines,21170
Galveston,339931
Garza,6115
Gillespie,27375
Glasscock,1369
Goliad,8007
Gonzales,20769
Gray,21930
Grayson,135612
Gregg,126116
Grimes,29466
Guadalupe,166961
Hale,33165
Hall,3017
Hamilton,8641
Hansford,5327
Hardeman,3856
Hardin,59178
Harris,4698655
Harrison,68559
Hartley,5861
Haskell,5628
Hays,228364
Hemphill,3838
Henderson,82989
Hidalgo,886294
Hill,37069
Hockley,22862
Hood,60984
Hopkins,37312
Houston,23381
Howard,36294
Hudspeth,3680
Hunt,97842
Hutchinson,20550
Irion,1592
Jack,9265
Jackson,14561
Jasper,35726
Jeff Davis,2411
Jefferson,251590
Jim Hogg,5092
Jim Wells,40204
Johnson,174777
Jones,19697
Karnes,15508
Kaufman,135410
Kendall,47284
Kenedy,390
Kent,759
Kerr,52829
Kimble,4604
King,274
Kinney,3575
Kleberg,32135
Knox,3683
Lamar,50440
Lamb,12565
Lampasas,21326
La Salle,7426
Lavaca,20437
Lee,17411
Leon,17588
Liberty,91098
Limestone,23709
Lipscomb,3208
Live Oak,12164
Llano,21784
Loving,96
Lubbock,308880
Lynn,6151
McCulloch,8323
McLennan,255400
McMullen,749
Madison,14188
Marion,9760
Martin,5731
Mason,4301
Matagorda,36292
Maverick,57888
Medina,53794
Menard,2128
Midland,176814
Milam,25185
Mills,4899
Mitchell,8531
Montague,19695
Montgomery,604391
Moore,21046
Morris,12428
Motley,1205
Nacogdoches,65027
Navarro,52013
Newton,13317
Nolan,14256
Nueces,363049
Ochiltree,10219
Oldham,2126
Orange,82461
Palo Pinto,29008
Panola,24586
Parker,141080
Parmer,9501
Pecos,15052
Polk,50293
Potter,116063
Presidio,6535
Rains,12416
Randall,139034
Reagan,3836
Real,3499
Red River,11649
Reeves,16154
Refugio,6871
Roberts,851
Robertson,17708
Rockwall,103363
Runnels,10121
Rusk,54526
Sabine,10917
San Augustine,8458
San Jacinto,29506
San Patricio,66688
San Saba,6227
Schleicher,2822
Scurry,16697
Shackelford,3382
Shelby,24249
Sherman,3077
Smith,231516
Somervell,9569
Starr,63690
Stephens,9556
Sterling,1254
Stonewall,1382
Sutton,3664
Swisher,7439
Tarrant,2060239
Taylor,139044
Terrell,794
Terry,12544
Throckmorton,1448
Titus,33690
Tom Green,117613
Travis,1273554
Trinity,14530
Tyler,22735
Upshur,41204
Upton,3619
Uvalde,26743
Val Verde,50853
Van Zandt,56376
Victoria,91329
Walker,75949
Waller,54822
Ward,11530
Washington,35570
Webb,280775
Wharton,41224
Wheeler,5178
Wichita,132920
Wilbarger,12465
Willacy,21566
Williamson,589216
Wilson,52127
Winkler,7990
Wise,69609
Wood,45084
Yoakum,8829
Young,19029
Zapata,14196
Zavala,12116
