county,Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, 16-64
 Any Medical Condition"
Anderson,"13,970","9,681","6,723","3,648","48,045","8,658","20,206"
Andrews,"5,100","9,056","5,223","3,934","13,503","1,833","5,450"
Angelina,"40,500","29,143","19,054","10,903","67,056","14,422","28,054"
Aransas,"4,670","12,396","7,938","4,726","19,803","6,791","6,701"
Archer,"2,400","3,819","2,355","1,591","6,921","1,677","2,381"
Armstrong,"1,700",837,516,332,"1,499",470,466
Atascosa,"13,100","14,728","9,903","5,284","38,768","7,605","15,239"
Austin,"6,000","14,393","10,055","4,992","23,704","5,933","7,873"
Bailey,"20,395","3,399","1,960","1,559","5,089","1,036","1,982"
Bandera,"3,000","8,281","5,695","2,863","19,763","6,439","6,555"
Bastrop,"34,300","25,725","17,619","8,715","68,839","13,865","29,356"
Baylor,"4,750","2,004","1,145",875,"2,793",844,908
Bee,"63,120","14,664","8,252","6,545","26,496","4,091","11,359"
Bell,"152,980","82,960","53,103","33,484","272,969","40,534","95,066"
Bexar,"945,450","795,648","505,101","300,973","1,552,823","247,843","614,646"
Blanco,"4,100","5,837","4,045","1,943","10,092","3,004","3,388"
Borden,0,239,145,101,543,174,163
Bosque,"8,000","7,130","4,930","2,487","15,224","4,741","5,126"
Bowie,"43,950","22,269","14,210","9,393","73,689","15,832","29,102"
Brazoria,"144,220","149,015","94,760","58,410","287,683","45,752","105,966"
Brazos,"101,260","86,541","58,951","30,359","186,843","21,693","59,619"
Brewster,"3,800","6,257","3,808","2,635","7,706","2,231","2,579"
Briscoe,"1,200",842,482,394,"1,272",404,452
Brooks,"2,900","4,384","2,583","1,813","5,317","1,308","2,253"
Brown,"12,100","11,214","7,640","5,747","30,883","7,720","11,188"
Burleson,"3,300","7,123","4,510","2,941","14,869","3,867","5,600"
Burnet,"24,715","17,017","11,502","6,372","39,239","10,999","13,132"
Caldwell,"11,100","12,607","8,554","4,734","34,853","6,512","14,114"
Calhoun,"5,100","7,630","5,291","2,929","16,817","3,981","6,161"
Callahan,"2,900","4,588","2,822","1,897","11,263","2,958","4,094"
Cameron,"200,045","202,481","130,560","77,272","311,689","58,607","127,806"
Camp,"1,400","3,729","2,487","1,337","10,031","2,494","3,927"
Carson,"1,300","2,146","1,282",894,"4,718","1,250","1,547"
Cass,"4,100","6,429","4,298","2,542","24,182","6,856","9,010"
Castro,"2,500","2,958","1,885","1,172","5,607","1,236","2,168"
Chambers,"27,400","12,591","8,360","4,399","33,062","5,259","12,484"
Cherokee,"13,970","13,092","8,302","5,423","40,876","9,444","16,376"
Childress,"3,900","2,834","1,681","1,229","6,094","1,165","2,395"
Clay,"10,545","5,277","2,857","2,489","8,666","2,484","3,011"
Cochran,"1,400","2,334","1,870",584,"2,188",468,956
Coke,0,"1,390",862,544,"2,756",947,899
Coleman,"2,600","2,834","1,845","1,089","6,721","2,119","2,379"
Collin,"487,360","473,674","308,251","173,704","801,716","116,575","236,374"
Collingsworth,"1,800","1,174",715,519,"2,263",555,847
Colorado,"8,700","9,303","5,909","4,043","17,107","4,850","5,957"
